time,foot
23.12897,Left,
23.57394,Right,
24.19616,Left,
24.73264,Right,
25.38744,Left,
25.81832,Right,
26.42369,Left,
26.96479,Right,
27.57588,Left,
28.00634,Right,
28.7158,Left,
29.14165,Right,
29.8476,Left,
30.02764,Left,
30.22205,Right,
31.28784,Right,
32.3433,Right,
33.46964,Right,
34.5609,Right,
35.70079,Right,
36.72571,Right,
37.82293,Right,
38.92167,Right,
40.07772,Right,
41.11713,Right,
42.17314,Right,
43.26161,Right,
44.38717,Right,
45.4925,Right,
46.59188,Right,
47.65988,Right,
48.79083,Right,
49.81567,Right,
50.90864,Right,
52.00657,Right,
53.12272,Right,
54.21988,Right,
55.30205,Right,
56.35529,Right,
57.47226,Right,
58.54457,Right,
59.66452,Right,
60.16164,Left,
60.76313,Right,
61.85705,Right,
62.35708,Left,
62.69567,Left,
62.95081,Right,
63.44346,Left,
63.93925,Right,
64.92638,Right,
65.52034,Left,
66.13668,Right,
67.10509,Left,
67.2467,Right,
67.80939,Left,
68.32082,Right,

time,foot
0.458628,Right,
0.9344951,Left,
1.474865,Right,
1.931115,Left,
2.416752,Right,
2.911451,Left,
3.382213,Right,
3.863906,Left,
4.421863,Right,
4.930932,Left,
5.447632,Right,
5.944292,Left,
6.437974,Right,
6.868547,Left,
7.421036,Right,
7.882898,Left,
8.347583,Right,
8.834628,Left,
9.304433,Right,
9.814852,Left,
10.32855,Right,
10.86448,Left,
11.40757,Right,
11.94067,Left,
12.49919,Right,
13.03988,Left,
13.56873,Right,
14.07166,Left,
14.62228,Right,
15.13442,Left,
15.71145,Right,
16.26405,Left,
16.84877,Right,
17.25833,Left,
17.81899,Right,
18.29294,Left,
18.84639,Right,
19.33331,Left,
19.82745,Right,
20.32788,Left,
20.85353,Right,
21.39637,Left,
21.88779,Right,
22.43021,Left,
22.90714,Right,
23.41321,Left,
23.91948,Right,
24.39067,Left,
24.94292,Right,
25.47906,Left,
26.01273,Right,
26.47177,Left,
27.06306,Right,
27.54519,Left,
28.51403,Left,
29.06322,Right,
29.54333,Left,
30.09335,Right,
30.51257,Left,
31.10746,Right,
31.52427,Left,
32.11103,Right,
32.48909,Left,
33.07979,Right,
33.52869,Left,
34.07095,Right,
34.53009,Left,
35.07503,Right,
35.54018,Left,
36.08219,Right,
36.51919,Left,
37.09821,Right,
37.58105,Left,
38.14474,Right,
38.63612,Left,
39.18869,Right,
39.70636,Left,
40.23057,Right,
40.75903,Left,
41.30873,Right,
41.84346,Left,
42.91767,Left,
44.0462,Left,
45.07686,Left,
45.61032,Right,
46.11099,Left,
46.63395,Right,
47.10255,Left,
47.66145,Right,
48.11695,Left,
48.65254,Right,
49.15245,Left,
49.71928,Right,
50.18768,Left,
50.75321,Right,
51.27789,Left,
51.84113,Right,
52.38201,Left,
52.93312,Right,
53.40202,Left,
54.00193,Right,
54.49332,Left,
55.0723,Right,
55.58325,Left,
56.17725,Right,
56.73835,Left,
57.2999,Right,
57.81141,Left,
58.35294,Right,
58.88689,Left,

time,foot
7.597748,Right,
8.064643,Left,
8.631208,Right,
9.246369,Left,
9.798243,Right,
10.34714,Left,
10.79562,Right,
11.37944,Left,
11.87896,Right,
12.48073,Left,
12.98018,Right,
13.61328,Left,
14.06255,Right,
14.67969,Left,
15.11264,Right,
15.84573,Left,
16.31072,Right,
16.92936,Left,
17.462,Right,
18.02877,Left,
18.52866,Right,
19.06158,Left,
19.66226,Right,
20.1616,Left,
20.62658,Right,
21.22818,Left,
21.62604,Right,
22.35979,Left,
22.79402,Right,
23.52725,Left,
23.92658,Right,
24.69398,Left,
25.02705,Right,
26.12683,Right,
27.22639,Right,
28.35878,Right,
29.42527,Right,
30.48977,Right,
31.52508,Right,
31.82545,Left,
32.25826,Right,
32.82514,Left,
33.35665,Right,
33.92321,Left,
34.39159,Right,
34.92397,Left,
35.44061,Right,
35.92804,Left,
36.47435,Right,
37.05727,Left,
37.58598,Right,
